,Nombre Municipio Loc,CLUES
5439,Juárez Hidalgo,HGSSA015544
5440,San Agustín Metzquititlán,HGSSA015573
5468,Apan,HGSSA015590
5469,Alfajayucan,HGSSA015631
5499,Atitalaquia,HGSSA015643
5500,Tecozautla,HGSSA015655
5503,Atotonilco el Grande,HGSSA015684
5515,Atotonilco el Grande,HGSSA015696
5525,Metztitlán,HGSSA016483
5532,Metztitlán,HGSSA016495
5542,Chapulhuacán,HGSSA017323
5555,La Misión,HGSSA017335
5566,Pisaflores,HGSSA017340
5578,Zimapán,HGSSA017352
5595,Huazalingo,HGSSA017364
5601,Tepehuacán de Guerrero,HGSSA017376
5606,Tlanchinol,HGSSA017381
5615,Agua Blanca de Iturbide,HGSSA017393
5625,Huehuetla,HGSSA017405
5636,San Bartolo Tutotepec,HGSSA017410
5646,Huehuetla,HGSSA017422
5659,Zapotlán de Juárez,HGSSA017644
5668,Tlanchinol,HGSSA017690
5669,Acaxochitlán,HGSSA017866
5675,Huejutla de Reyes,HGSSA017871
5684,Tepehuacán de Guerrero,HGSSA017912
5688,Tepehuacán de Guerrero,HGSSA017924
5695,Tepehuacán de Guerrero,HGSSA017936
5700,Huehuetla,HGSSA017953
5713,Mineral del Chico,HGSSA017965
5716,Tepeji del Río de Ocampo,HGSSA017982
5724,Mineral de la Reforma,HGSSA017994
5742,Almoloya,HGSSA018035
5802,Tecozautla,HGSSA018040
5810,Tecozautla,HGSSA018052
5819,Alfajayucan,HGSSA018064
5831,Nopala de Villagrán,HGSSA018076
5851,Cardonal,HGSSA018081
5865,Nicolás Flores,HGSSA018093
5875,Yahualica,HGSSA018105
5882,Huautla,HGSSA018110
5894,Xochiatipan,HGSSA018122
5898,Acaxochitlán,HGSSA018134
5906,Huazalingo,HGSSA018146
5909,Huehuetla,HGSSA018163
